title,PublishedAt,ID,URL,views,likes,dislikes,comments,Last_updated_Date
GeForce GTX 1080 Ti (지포스 GTX 1080 Ti) 출시 영상,2017-03-02 15:39,tsTeuUAWc3E,https://www.youtube.com/watch?v=tsTeuUAWc3E,1742,6,,6,2022-02-14
NVIDIA TECH TALK 2017 (엔비디아 테크 토크 2017),2017-02-01 16:29,DsuZy1uu1pU,https://www.youtube.com/watch?v=DsuZy1uu1pU,308,2,,0,2022-02-14
지스타 2016 엔비디아 부스 하이라이트 (G-STAR 2016 NVIDIA Booth highlight),2016-12-21 10:57,uo4vhwOcmmo,https://www.youtube.com/watch?v=uo4vhwOcmmo,430,1,,0,2022-02-14
지스타 2016 엔비디아 부스 인터뷰 영상,2016-12-21 10:35,w74FPM182bk,https://www.youtube.com/watch?v=w74FPM182bk,119,2,,0,2022-02-14
엔비디아가 그리는 VR의 미래,2016-12-13 14:01,zWg-S7emTR4,https://www.youtube.com/watch?v=zWg-S7emTR4,825,5,,0,2022-02-14
NVIDIA Powers VR,2016-12-13 11:53,uxte2KAYG30,https://www.youtube.com/watch?v=uxte2KAYG30,57,1,,0,2022-02-14
엔비디아 GTCx Korea 2016 후기,2016-11-14 17:06,3MKc81x4qaQ,https://www.youtube.com/watch?v=3MKc81x4qaQ,376,3,,1,2022-02-14
SKT T1 1:1 최강자전 (벵기 VS 페이커 VS 울프 VS 듀크 VS 뱅 VS 블랭크),2016-11-07 19:34,FyXEgcecJEw,https://www.youtube.com/watch?v=FyXEgcecJEw,322404,637,,143,2022-02-14
전세계를 제패한 SKT T1의 1:1 최강자전 배틀이 다가온다.,2016-11-02 17:14,KJH07zHThtk,https://www.youtube.com/watch?v=KJH07zHThtk,1151,2,,0,2022-02-14
"타이탄폴 2(Titanfall 2), 4K 60 FPS의 싱글플레이 영상 독점 공개!",2016-10-20 19:18,6TH14ebI8EI,https://www.youtube.com/watch?v=6TH14ebI8EI,3312,9,,2,2022-02-14
SKT T1 인터뷰 영상,2016-09-20 15:56,Fry9qdqzdUE,https://www.youtube.com/watch?v=Fry9qdqzdUE,4795,30,,3,2022-02-14
VR 펀하우스 200배 즐기기! 신규 모드 추가 및 유저 제작 모드 지원,2016-09-08 16:43,sztWHBQGD70,https://www.youtube.com/watch?v=sztWHBQGD70,118,1,,0,2022-02-14
